Date,Price_Nifty50,Open_Nifty50,High_Nifty50,Low_Nifty50,Vol_Nifty50,Change_Nifty50,Price_NiftyBank,Open_NiftyBank,High_NiftyBank,Low_NiftyBank,Vol_NiftyBank,Change_NiftyBank,Price_NiftyFMCG,Open_NiftyFMCG,High_NiftyFMCG,Low_NiftyFMCG,Vol_NiftyFMCG,Change_NiftyFMCG,Price_NiftyIT,Open_NiftyIT,High_NiftyIT,Low_NiftyIT,Vol_NiftyIT,Change_NiftyIT,Price_NiftyMedia,Open_NiftyMedia,High_NiftyMedia,Low_NiftyMedia,Vol_NiftyMedia,Change_NiftyMedia,Price_NiftyMidcap,Open_NiftyMidcap,High_NiftyMidcap,Low_NiftyMidcap,Vol_NiftyMidcap,Change_NiftyMidcap,Price_NiftyPharma,Open_NiftyPharma,High_NiftyPharma,Low_NiftyPharma,Vol_NiftyPharma,Change_NiftyPharma,Price_NiftyPSU,Open_NiftyPSU,High_NiftyPSU,Low_NiftyPSU,Vol_NiftyPSU,Change_NiftyPSU,Price_NiftySmallcap,Open_NiftySmallcap,High_NiftySmallcap,Low_NiftySmallcap,Vol_NiftySmallcap,Change_NiftySmallcap
17-12-2023,"21,349.40","21,434.80","21,593.00","20,976.80",1430000000,-0.50%,"47,491.85","48,068.50","48,166.15","46,919.70",963360000,-1.35%,"55,101.05","54,070.90","55,581.40","53,911.35",157230000,1.69%,"35,637.80","35,707.30","36,132.00","34,394.55",139720000,-0.40%,"2,390.50","2,425.95","2,493.40","2,306.20",1000000,-1.91%,"16,693.00","16,874.50","16,982.85","16,066.85",1000000,-0.93%,"16,394.35","16,196.40","16,500.90","15,868.15",123940000,1.33%,"5,584.95","5,757.00","5,811.10","5,413.80",1530000000,-3.08%,"13,792.00","13,869.60","14,003.15","13,176.20",1000000,-0.21%
24-12-2023,"21,731.40","21,365.20","21,801.45","21,329.45",1140000000,1.79%,"48,292.25","47,576.40","48,636.45","47,411.65",868760000,1.69%,"56,987.20","55,271.75","57,055.80","55,189.85",111480000,3.42%,"35,515.00","35,421.15","35,850.40","35,185.45",102660000,-0.34%,"2,388.15","2,407.20","2,417.85","2,350.45",1000000,-0.10%,"17,077.05","16,761.80","17,102.40","16,712.05",1000000,2.30%,"16,831.80","16,418.60","16,909.10","16,385.70",89040000,2.67%,"5,713.45","5,604.70","5,798.85","5,571.60",920160000,2.30%,"14,041.30","13,848.60","14,059.05","13,790.15",1000000,1.81%
31-12-2023,"21,710.80","21,727.75","21,834.35","21,500.35",1380000000,-0.09%,"48,159.00","48,203.45","48,450.00","47,481.35",920080000,-0.28%,"57,667.35","57,127.55","57,966.70","56,763.70",128009999,1.19%,"34,851.75","35,496.40","35,890.75","34,236.60",112430000,-1.87%,"2,468.00","2,400.25","2,499.45","2,392.95",1000000,3.34%,"17,499.65","17,135.00","17,575.65","16,961.25",1000000,2.47%,"17,358.60","16,859.50","17,529.85","16,819.00",167380000,3.13%,"5,838.45","5,733.50","5,908.90","5,684.75",1140000000,2.19%,"14,382.40","14,081.90","14,402.60","13,960.30",1000000,2.43%
07-01-2024,"21,894.55","21,747.60","21,928.25","21,448.65",1180000000,0.85%,"47,709.80","48,096.65","48,154.50","47,010.80",881740000,-0.93%,"56,485.75","57,718.85","57,748.35","56,008.00",108100000,-2.05%,"36,521.70","34,876.65","36,581.10","34,419.75",139110000,4.79%,"2,446.05","2,486.30","2,508.60","2,361.45",1000000,-0.89%,"17,563.85","17,550.85","17,589.55","17,251.65",1000000,0.37%,"17,347.45","17,435.80","17,476.00","17,162.00",81780000,-0.06%,"5,860.80","5,825.55","5,884.25","5,616.80",995540000,0.38%,"14,552.75","14,445.30","14,601.30","14,285.90",1000000,1.18%
14-01-2024,"21,622.40","22,053.15","22,124.15","21,285.55",1820000000,-1.24%,"45,701.15","47,891.05","48,305.40","45,430.70",1460000000,-4.21%,"56,640.50","56,795.40","56,872.50","55,206.70",118640000,0.27%,"37,069.25","37,538.45","37,929.30","36,136.40",222270000,1.50%,"2,369.90","2,467.60","2,472.20","2,309.25",1000000,-3.11%,"17,670.85","17,659.55","17,738.25","16,978.05",1000000,0.61%,"17,388.00","17,423.25","17,603.85","16,818.70",109000000,0.23%,"5,945.10","5,904.50","6,007.45","5,710.70",1840000000,1.44%,"14,548.55","14,645.25","14,676.05","14,042.70",1000000,-0.03%
21-01-2024,"21,352.60","21,716.70","21,750.25","21,137.20",1280000000,-1.25%,"44,866.15","45,989.25","46,580.30","44,429.00",1320000000,-1.83%,"55,214.10","56,632.80","56,650.35","54,816.10",105350000,-2.52%,"36,496.20","37,259.80","37,383.45","36,354.10",96200000,-1.55%,"2,134.60","2,393.85","2,428.15","2,057.55",1000000,-9.93%,"17,413.75","17,799.10","17,868.00","17,033.40",1000000,-1.45%,"17,532.55","17,454.30","17,796.00","17,212.75",104090000,0.83%,"5,929.70","5,972.65","6,123.25","5,719.35",1460000000,-0.26%,"14,543.80","14,622.25","14,739.90","14,073.15",1000000,-0.03%
28-01-2024,"21,853.80","21,433.10","22,126.80","21,429.60",1940000000,2.35%,"45,970.95","45,171.50","46,892.35","45,071.20",1580000000,2.46%,"55,118.40","55,058.15","55,792.00","54,501.35",213750000,-0.17%,"37,323.25","36,553.80","37,663.95","36,228.85",108530000,2.27%,"2,129.05","2,157.70","2,201.15","2,118.95",1000000,-0.26%,"17,873.35","17,490.35","17,976.70","17,459.20",1000000,2.64%,"17,972.10","17,511.35","18,084.70","17,432.45",116270000,2.51%,"6,609.75","5,990.60","6,699.35","5,972.85",2900000000,11.47%,"15,175.90","14,634.95","15,277.65","14,632.55",1000000,4.35%
04-02-2024,"21,782.50","21,921.05","22,053.30","21,629.90",2000000000,-0.33%,"45,634.55","45,962.25","46,181.20","44,859.15",1320000000,-0.73%,"53,867.10","55,340.40","55,387.90","53,317.25",190480000,-2.27%,"37,699.25","37,441.00","38,373.45","37,097.95",107020000,1.01%,"2,191.80","2,146.40","2,212.80","2,117.85",1000000,2.95%,"18,003.10","17,940.15","18,345.10","17,715.35",1000000,0.73%,"18,617.10","18,034.20","18,729.65","17,979.55",175570000,3.59%,"6,944.95","6,622.05","7,035.40","6,468.40",4269999999,5.07%,"15,128.35","15,256.20","15,489.50","14,902.30",1000000,-0.31%
18-02-2024,"22,212.70","22,103.45","22,297.50","21,875.25",1230000000,0.78%,"46,811.75","46,554.90","47,363.40","46,317.70",906930000,0.92%,"54,337.75","53,645.55","54,561.55","53,552.55",131130000,1.53%,"38,045.65","38,526.95","38,559.85","37,302.60",99160000,-1.12%,"2,164.30","2,177.30","2,264.85","2,092.10",1000000,-0.02%,"18,149.05","18,193.75","18,234.10","17,782.10",1000000,0.37%,"19,048.40","18,938.70","19,134.80","18,755.65",134520000,0.94%,"7,076.05","7,165.35","7,253.05","7,035.85",1160000000,-0.83%,"15,169.50","15,188.70","15,256.85","14,849.00",1000000,0.47%
25-02-2024,"22,338.75","22,169.20","22,353.30","21,860.65",1370000000,0.57%,"47,286.90","46,615.85","47,342.25","45,661.75",1270000000,1.02%,"54,225.15","54,312.60","54,559.65","53,453.50",130410000,-0.21%,"37,516.05","37,991.90","38,138.35","37,384.90",92400000,-1.39%,"2,019.90","2,180.75","2,186.75","2,011.65",1000000,-6.67%,"17,974.65","18,168.45","18,196.20","17,559.90",1000000,-0.96%,"18,822.30","19,065.05","19,119.30","18,761.25",114910000,-1.19%,"7,080.75","7,063.90","7,110.40","6,759.10",1470000000,0.07%,"15,061.35","15,213.20","15,249.65","14,691.45",1000000,-0.71%
03-03-2024,"22,493.55","22,403.50","22,525.65","22,224.35",1290000000,0.69%,"47,835.80","47,377.45","48,161.25","47,191.65",795270000,1.16%,"54,406.30","54,433.05","54,588.55","53,171.75",102330000,0.33%,"37,099.90","37,695.35","37,744.90","36,134.00",74360000,-1.11%,"1,988.35","2,040.75","2,067.80","1,907.50",1000000,-1.56%,"17,995.70","18,049.65","18,156.00","17,700.20",1000000,0.12%,"19,194.10","18,946.60","19,277.70","18,811.30",101530000,1.98%,"7,341.25","7,101.80","7,409.00","7,086.60",1180000000,3.68%,"14,803.20","15,119.80","15,235.05","14,521.25",1000000,-1.71%
10-03-2024,"22,023.35","22,517.50","22,526.60","21,905.65",2160000000,-2.09%,"46,594.10","47,792.20","47,853.80","46,310.50",1250000000,-2.60%,"54,155.45","54,570.85","54,962.50","53,280.20",333230000,-0.46%,"37,500.70","37,082.00","37,723.35","36,607.65",119680000,1.08%,"1,822.50","1,997.40","2,001.80","1,767.30",1000000,-8.34%,"17,254.20","18,079.10","18,081.05","16,717.95",1000000,-4.12%,"18,718.45","19,313.20","19,397.25","18,495.00",110570000,-2.48%,"6,761.00","7,369.15","7,418.75","6,574.40",1350000000,-7.90%,"13,922.35","14,863.45","14,873.00","13,284.30",1000000,-5.95%
17-03-2024,"22,096.75","21,990.10","22,180.70","21,710.20",1750000000,0.33%,"46,863.75","46,458.75","46,990.25","45,828.80",831350000,0.58%,"53,775.70","54,144.30","54,189.10","52,562.60",182900000,-0.70%,"35,188.40","37,458.85","37,522.85","34,701.75",130430000,-6.17%,"1,849.80","1,827.25","1,858.80","1,768.70",1000000,1.50%,"17,502.80","17,250.20","17,518.05","16,832.70",1000000,1.44%,"18,815.60","18,713.40","18,881.25","18,189.95",92570000,0.52%,"6,888.50","6,753.40","6,909.95","6,561.40",779640000,1.89%,"14,161.40","13,931.05","14,192.65","13,558.70",1000000,1.72%
24-03-2024,"22,326.90","21,947.90","22,516.00","21,947.55",1150000000,1.04%,"47,124.60","46,552.95","47,440.45","46,529.05",804690000,0.56%,"53,949.20","53,325.40","54,251.00","53,325.10",103250000,0.32%,"34,898.15","35,003.10","35,400.15","34,693.60",86530000,-0.82%,"1,795.85","1,855.20","1,860.60","1,790.85",1000000,-2.92%,"17,766.00","17,459.70","17,814.25","17,457.55",1000000,1.50%,"18,996.15","18,690.10","19,082.05","18,684.80",71010000,0.96%,"7,007.25","6,873.95","7,059.45","6,807.15",557630000,1.72%,"14,330.50","14,166.80","14,407.40","14,045.10",1000000,1.19%
31-03-2024,"22,513.70","22,455.00","22,619.00","22,303.80",1490000000,0.84%,"48,493.05","47,391.05","48,557.40","47,279.80",1140000000,2.90%,"53,925.95","54,078.20","54,369.10","53,502.90",148560000,-0.04%,"35,247.90","35,224.00","35,649.60","34,626.20",107190000,1.00%,"1,916.25","1,816.60","1,947.75","1,812.85",1000000,6.70%,"18,473.25","17,902.85","18,523.65","17,882.90",1000000,3.98%,"19,160.75","19,147.50","19,395.55","18,952.65",95150000,0.87%,"7,306.35","7,049.70","7,375.40","7,040.35",1170000000,4.27%,"15,248.20","14,458.45","15,268.55","14,456.55",1000000,6.40%
07-04-2024,"22,519.40","22,578.35","22,775.70","22,503.75",1090000000,0.03%,"48,564.55","48,586.75","49,057.40","48,424.65",866020000,0.15%,"53,701.40","54,100.25","54,370.50","53,552.65",116230000,-0.42%,"35,018.10","35,381.00","35,568.80","34,952.25",102460000,-0.65%,"1,888.25","1,931.60","1,936.70","1,869.45",1000000,-1.46%,"18,534.70","18,593.85","18,722.05","18,411.40",1000000,0.33%,"18,788.65","19,246.50","19,288.45","18,765.80",117850000,-1.94%,"7,198.70","7,325.65","7,337.10","7,137.40",589810000,-1.47%,"15,322.15","15,354.60","15,455.70","15,215.25",1000000,0.48%
14-04-2024,"22,147.00","22,339.05","22,427.45","21,777.65",1490000000,-1.65%,"47,574.15","48,057.50","48,255.50","46,579.05",734140000,-2.04%,"53,055.45","53,299.05","53,571.75","52,398.75",131199999,-1.20%,"33,368.30","34,845.80","35,188.15","32,915.50",154100000,-4.71%,"1,870.35","1,862.35","1,911.40","1,822.05",1000000,-0.95%,"18,111.25","18,206.05","18,445.05","17,833.55",1000000,-2.28%,"18,404.60","18,613.75","18,815.60","18,298.25",87840000,-2.04%,"6,933.25","7,078.55","7,152.30","6,768.75",611590000,-3.69%,"15,162.20","15,006.15","15,369.90","14,792.10",1000000,-1.04%
21-04-2024,"22,419.95","22,336.90","22,625.95","22,198.15",1550000000,1.23%,"48,201.05","48,145.70","48,679.65","47,628.45",976520000,1.32%,"54,300.75","53,318.90","54,601.60","53,128.20",158760000,2.35%,"33,666.25","33,488.75","34,307.45","33,283.45",137830000,0.89%,"1,910.95","1,887.20","1,927.10","1,870.05",1000000,2.17%,"18,782.50","18,265.75","18,812.40","18,205.05",1000000,3.71%,"18,994.65","18,512.45","19,056.70","18,444.90",185620000,3.21%,"7,380.05","7,007.10","7,470.65","7,000.95",992520000,6.44%,"15,814.50","15,282.50","15,876.90","15,254.00",1000000,4.30%
