Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"43,989.00","44,103.25","44,459.25","43,917.90",659.76M,0.12%
11-06-2023,"43,938.15","44,035.20","44,212.35","43,397.50",868.93M,-0.12%
25-06-2023,"44,747.35","43,714.75","44,787.10","43,541.75",693.08M,2.58%
02-07-2023,"44,925.00","44,957.95","45,655.50","44,844.80",1.52B,0.40%
09-07-2023,"44,819.30","44,958.65","45,184.30","44,547.80",1.20B,-0.24%
16-07-2023,"46,075.20","44,951.20","46,369.50","44,695.05",1.37B,2.80%
23-07-2023,"45,468.10","46,131.90","46,310.10","45,238.80",1.27B,-1.32%
30-07-2023,"44,879.50","45,546.35","45,782.75","44,279.40",1.15B,-1.29%
06-08-2023,"44,199.10","44,993.70","45,096.85","44,120.90",1.04B,-1.52%
13-08-2023,"43,851.05","44,066.60","44,212.75","43,600.35",765.29M,-0.79%
20-08-2023,"44,231.45","43,952.85","44,949.90","43,862.00",872.37M,0.87%
27-08-2023,"44,436.10","44,253.65","44,779.65","43,830.75",1.48B,0.46%
03-09-2023,"45,156.40","44,647.65","45,383.35","44,207.25",1.06B,1.62%
10-09-2023,"46,231.50","45,340.80","46,310.40","45,231.30",1.46B,2.38%
17-09-2023,"44,612.05","46,100.95","46,252.95","44,548.90",1.19B,-3.50%
24-09-2023,"44,584.55","44,615.00","44,936.55","44,182.50",1.22B,-0.06%
01-10-2023,"44,360.60","44,561.50","44,566.30","43,857.50",903.93M,-0.50%
08-10-2023,"44,287.95","44,057.80","44,710.55","43,796.75",833.35M,-0.16%
15-10-2023,"43,723.05","44,204.75","44,589.85","43,558.10",787.13M,-1.28%
22-10-2023,"42,782.00","43,822.70","43,831.30","42,105.40",910.62M,-2.15%
29-10-2023,"43,318.25","42,721.40","43,416.10","42,390.50",760.38M,1.25%
05-11-2023,"43,820.10","43,627.75","43,908.70","43,283.85",710.39M,1.16%
12-11-2023,"43,583.95","44,054.50","44,420.95","43,513.85",770.40M,-0.54%
19-11-2023,"43,769.10","43,591.50","43,806.50","43,230.95",552.51M,0.42%
26-11-2023,"44,814.20","43,851.55","44,951.10","43,739.80",851.68M,2.39%
03-12-2023,"47,262.00","45,671.50","47,303.65","45,484.20",1.31B,5.46%
10-12-2023,"48,143.55","47,233.30","48,219.95","46,886.90",1.07B,1.87%
17-12-2023,"47,491.85","48,068.50","48,166.15","46,919.70",963.36M,-1.35%
24-12-2023,"48,292.25","47,576.40","48,636.45","47,411.65",868.76M,1.69%
31-12-2023,"48,159.00","48,203.45","48,450.00","47,481.35",920.08M,-0.28%
07-01-2024,"47,709.80","48,096.65","48,154.50","47,010.80",881.74M,-0.93%
14-01-2024,"45,701.15","47,891.05","48,305.40","45,430.70",1.46B,-4.21%
21-01-2024,"44,866.15","45,989.25","46,580.30","44,429.00",1.32B,-1.83%
28-01-2024,"45,970.95","45,171.50","46,892.35","45,071.20",1.58B,2.46%
04-02-2024,"45,634.55","45,962.25","46,181.20","44,859.15",1.32B,-0.73%
18-02-2024,"46,811.75","46,554.90","47,363.40","46,317.70",906.93M,0.92%
25-02-2024,"47,286.90","46,615.85","47,342.25","45,661.75",1.27B,1.02%
03-03-2024,"47,835.80","47,377.45","48,161.25","47,191.65",795.27M,1.16%
10-03-2024,"46,594.10","47,792.20","47,853.80","46,310.50",1.25B,-2.60%
17-03-2024,"46,863.75","46,458.75","46,990.25","45,828.80",831.35M,0.58%
24-03-2024,"47,124.60","46,552.95","47,440.45","46,529.05",804.69M,0.56%
31-03-2024,"48,493.05","47,391.05","48,557.40","47,279.80",1.14B,2.90%
07-04-2024,"48,564.55","48,586.75","49,057.40","48,424.65",866.02M,0.15%
14-04-2024,"47,574.15","48,057.50","48,255.50","46,579.05",734.14M,-2.04%
21-04-2024,"48,201.05","48,145.70","48,679.65","47,628.45",976.52M,1.32%
28-04-2024,"48,923.55","48,359.90","49,974.75","48,342.70",1.24B,1.50%
05-05-2024,"47,421.10","49,174.55","49,252.65","47,313.35",1.35B,-3.07%
12-05-2024,"48,115.65","47,389.80","48,188.65","46,983.25",925.37M,1.46%
19-05-2024,"48,971.65","48,197.30","49,052.95","47,435.25",710.32M,1.78%
26-05-2024,"48,983.95","49,105.90","49,688.85","48,313.60",1.02B,0.03%
02-06-2024,"49,803.20","50,889.85","51,133.20","46,077.85",2.07B,1.67%
09-06-2024,"50,002.00","49,808.15","50,252.95","49,530.45",816.64M,0.40%
16-06-2024,"51,661.45","50,194.35","51,957.00","49,900.20",1.15B,3.32%
23-06-2024,"52,342.25","51,280.25","53,180.75","51,138.90",1.17B,1.32%
30-06-2024,"52,660.35","52,351.15","53,357.70","51,996.65",1.03B,0.61%
07-07-2024,"52,278.90","52,533.10","52,794.55","51,749.45",840.37M,-0.72%
14-07-2024,"52,265.60","52,330.05","52,782.75","52,146.30",618.53M,-0.03%
21-07-2024,"51,295.95","52,145.60","52,547.55","50,438.30",1.08B,-1.86%
28-07-2024,"51,350.15","51,546.65","52,340.25","51,087.85",1.29B,0.11%
04-08-2024,"50,484.50","50,586.25","50,747.55","49,659.05",836.57M,-1.69%
11-08-2024,"50,516.90","50,412.60","50,830.70","49,654.65",580.31M,0.06%
18-08-2024,"50,933.45","50,683.55","51,117.85","50,283.55",661.81M,0.82%
25-08-2024,"51,351.00","51,100.65","51,466.55","50,938.10",962.03M,0.82%
